co2_ch4_n2o_scope_1_3,carbon_intensity,board_diversity,corruption_cases,governance_compliance_score,total_energy_consumption,renewable_energy_share,turnover_rate,injury_frequency_rate,green_financing
98.41,56.68,75.08,30.0,37.66,63.06,37.05,65.39,43.59,73.21
92.37,76.4,62.28,2.0,20.01,14.35,10.13,47.68,92.9,10.65
37.03,30.91,6.18,36.0,78.77,14.41,55.01,35.85,51.9,88.6
82.88,79.91,50.24,18.0,66.91,78.5,34.2,39.6,85.44,84.94
90.87,57.26,46.34,47.0,32.21,22.77,36.5,65.18,71.7,39.95
97.07,8.36,41.9,46.0,81.67,28.95,8.69,20.51,94.54,82.44
85.01,67.69,67.61,39.0,73.26,17.01,92.37,44.14,32.97,9.33
67.93,5.09,87.42,10.0,14.73,25.86,45.8,85.36,9.87,88.59
0.11,10.95,56.44,39.0,14.25,29.44,11.8,4.89,57.66,95.79
93.54,42.71,99.91,28.0,41.06,76.65,37.27,61.5,27.55,94.58
25.37,29.22,50.03,6.0,85.8,89.69,82.5,66.23,32.05,27.13
82.83,5.42,94.0,2.0,79.78,61.03,12.0,29.75,69.05,28.34
12.76,9.93,12.9,18.0,36.11,74.66,43.48,88.1,10.13,95.68
12.01,71.09,74.81,33.0,58.05,75.81,4.0,3.83,72.68,91.3
88.39,60.6,59.49,39.0,49.11,67.49,10.48,68.06,67.15,1.01
72.81,18.75,1.12,23.0,17.08,41.18,76.06,11.67,50.02,22.15
60.42,23.71,67.14,29.0,7.78,0.77,23.5,56.38,51.88,68.05
55.03,93.45,47.5,2.0,42.65,70.29,25.79,39.6,42.53,30.91
9.36,91.03,57.66,14.0,35.13,97.74,11.03,74.79,94.61,63.26
59.61,38.48,82.72,9.0,98.6,86.62,9.64,83.58,58.28,49.9
67.82,57.7,18.62,12.0,87.0,4.03,3.75,8.81,63.42,25.99
46.92,33.82,34.06,15.0,12.06,8.5,64.64,50.2,30.45,40.3
73.58,11.48,57.36,18.0,17.81,92.35,22.15,16.08,49.89,33.81
97.08,38.71,1.62,11.0,52.95,82.68,81.11,27.69,28.01,88.72
12.32,2.84,81.69,36.0,63.25,69.83,69.85,36.44,95.07,71.14
0.6,14.03,54.11,19.0,56.01,93.47,83.41,16.9,4.73,26.25
48.29,44.45,48.83,19.0,7.07,3.54,78.51,78.04,1.05,49.08
4.88,72.27,22.93,35.0,65.21,39.27,23.04,92.45,10.02,65.31
85.01,3.99,55.48,11.0,80.21,4.05,16.73,42.16,42.17,0.09
18.63,86.21,64.74,14.0,5.1,41.29,64.91,93.43,22.16,57.69
46.36,61.57,50.58,29.0,39.19,42.91,19.72,65.98,8.95,33.44
62.87,37.1,80.3,22.0,2.59,60.03,66.32,16.3,99.88,35.66
62.03,57.78,26.24,3.0,31.08,97.51,78.12,35.78,84.9,63.44
36.47,2.24,69.25,47.0,97.21,81.85,68.77,94.73,15.49,91.73
76.44,17.22,74.48,43.0,3.0,7.55,67.88,25.04,93.44,19.04
31.03,69.98,52.81,48.0,68.95,74.97,82.84,63.44,4.04,14.84
65.03,26.7,76.94,47.0,6.82,22.77,75.78,86.18,67.31,26.92
94.22,71.67,8.92,7.0,44.04,88.79,45.6,41.23,43.72,84.82
61.45,81.28,96.26,7.0,71.37,59.86,30.41,70.78,20.83,52.75
13.43,15.65,40.42,21.0,19.46,26.92,21.52,78.47,42.92,15.3
80.95,77.28,35.09,16.0,53.43,5.47,24.8,9.58,53.2,15.71
98.27,0.88,87.74,36.0,55.38,60.42,18.28,35.57,14.32,73.61
45.06,91.91,46.64,20.0,44.56,90.22,73.12,75.9,85.56,63.81
35.72,33.42,58.99,13.0,74.89,67.92,63.07,41.73,14.22,99.2
56.93,50.5,76.28,30.0,57.79,87.39,92.2,38.89,84.76,60.61
59.12,45.14,93.0,12.0,66.66,37.48,13.66,80.88,68.94,74.1
68.01,67.48,2.05,34.0,16.15,36.48,58.95,9.34,3.67,95.72
85.84,30.36,71.24,30.0,67.29,47.02,58.92,98.43,51.44,58.94
66.62,17.99,29.85,10.0,52.66,44.86,93.19,57.77,55.03,50.89
69.3,3.16,16.9,44.0,35.05,93.27,10.04,48.19,64.87,22.67
55.59,58.87,69.56,25.0,70.24,61.48,7.56,44.01,38.54,87.03
51.77,33.98,50.55,2.0,63.16,70.78,91.71,12.02,27.34,6.51
20.37,79.06,86.17,6.0,72.4,24.14,53.75,44.69,19.12,18.45
21.19,1.09,84.88,36.0,87.25,68.09,32.23,5.68,31.58,36.04
13.97,16.6,64.81,4.0,42.59,43.33,98.74,87.8,64.01,13.21
39.21,99.17,72.78,18.0,40.18,42.65,76.09,45.74,39.55,68.94
0.66,59.77,64.89,32.0,80.73,27.16,58.95,12.93,67.94,14.25
62.08,93.86,36.83,37.0,21.58,91.03,14.3,0.63,75.73,14.42
6.02,20.48,94.94,29.0,78.99,61.18,34.6,34.78,74.99,94.99
69.6,10.67,76.17,22.0,42.49,47.98,71.02,26.4,71.1,45.81
49.54,86.87,89.47,41.0,84.01,20.14,41.11,6.05,20.25,22.86
31.47,0.88,23.18,39.0,88.8,76.06,1.51,46.8,16.94,9.27
80.42,41.29,14.76,6.0,41.72,36.82,15.68,15.46,22.39,54.47
70.88,47.74,41.77,26.0,8.26,65.22,96.83,9.84,56.5,17.55
25.15,48.72,2.2,28.0,95.55,58.33,77.67,20.55,65.22,47.02
77.15,40.63,36.98,9.0,12.02,69.8,29.98,86.05,96.69,97.44
40.29,11.96,63.56,49.0,99.2,32.25,53.24,41.11,86.78,31.03
16.7,26.52,39.59,32.0,17.12,23.18,70.84,56.36,9.04,32.93
46.68,4.79,27.93,7.0,15.09,32.85,92.98,55.86,86.05,47.11
11.22,37.5,48.46,25.0,40.54,41.87,37.69,19.95,4.38,66.9
0.41,36.7,22.86,26.0,55.54,72.44,11.21,37.63,74.34,13.42
37.02,82.45,75.94,43.0,80.16,13.03,28.94,54.82,74.43,88.99
41.18,36.8,3.22,12.0,31.68,51.92,9.16,5.02,62.5,0.09
99.58,37.65,17.07,26.0,17.25,31.9,98.73,20.9,26.76,50.21
83.51,87.66,15.85,24.0,18.78,86.94,61.41,67.12,16.71,21.0
43.39,39.72,87.59,28.0,79.86,1.87,41.17,43.44,67.52,69.34
50.92,67.67,17.03,5.0,3.37,38.64,98.79,57.78,67.74,87.35
98.9,9.7,27.88,13.0,66.22,75.9,59.05,26.78,76.61,48.61
62.83,36.55,34.07,28.0,20.92,67.6,26.4,32.74,97.3,29.28
55.46,26.22,20.24,8.0,36.15,41.44,89.46,51.22,5.13,20.55
27.36,83.93,23.37,23.0,68.04,56.92,60.35,16.89,31.34,82.15
45.88,97.13,33.72,29.0,21.73,91.6,63.73,29.46,83.48,12.79
58.7,32.54,48.47,47.0,42.82,31.41,9.63,63.8,99.59,89.59
72.9,78.4,47.72,16.0,1.15,28.96,51.25,14.31,74.51,72.79
20.84,69.02,56.12,41.0,87.35,73.62,55.51,71.72,20.91,75.35
91.94,66.32,92.72,46.0,4.92,44.0,83.23,16.52,95.82,89.51
66.5,94.3,71.49,43.0,24.85,97.05,50.91,80.08,21.96,89.42
36.02,44.54,15.16,27.0,90.3,75.48,62.29,0.58,27.26,29.35
96.81,33.87,97.23,7.0,96.95,54.13,88.39,1.88,72.49,88.12
9.86,6.01,88.41,7.0,54.2,75.33,90.81,63.43,37.25,16.81
12.76,73.65,42.52,41.0,57.52,56.62,27.52,53.7,86.96,59.35
62.45,62.07,46.59,41.0,21.47,51.84,59.89,80.62,78.77,32.72
99.89,12.53,44.51,47.0,17.85,20.49,11.17,53.72,66.06,34.26
1.46,99.76,97.25,2.0,40.41,82.89,16.85,0.83,48.31,30.23
97.79,22.57,57.11,37.0,97.4,11.74,69.9,98.62,42.74,52.41
93.83,84.17,46.51,47.0,15.0,82.8,2.54,41.56,31.08,2.29
98.18,22.23,93.92,17.0,49.18,79.45,56.73,63.64,27.19,78.64
41.06,48.56,17.32,30.0,25.62,69.67,20.23,30.98,33.65,88.67
6.58,21.81,0.17,7.0,74.82,0.12,42.12,96.5,21.61,30.89
73.33,35.82,39.0,27.0,9.62,78.6,80.86,36.47,66.51,92.99
41.07,72.65,41.32,45.0,99.87,63.71,70.03,91.68,11.77,40.89
68.75,98.3,5.75,48.0,48.37,23.05,94.87,81.65,0.99,65.75
23.87,43.33,15.12,16.0,53.35,25.32,57.71,63.0,91.87,69.28
40.71,47.95,40.9,41.0,15.01,63.09,40.47,47.57,63.73,19.66
12.65,97.31,35.98,45.0,45.61,27.17,55.74,6.69,77.14,12.37
46.85,59.54,18.53,4.0,32.22,0.81,66.8,24.52,13.54,99.13
90.78,8.9,48.59,47.0,54.47,75.82,22.14,62.27,90.05,53.6
30.41,92.29,33.09,49.0,34.3,55.68,37.52,5.91,81.1,18.92
78.1,86.2,37.56,14.0,97.34,43.32,70.61,67.77,80.81,87.27
52.73,50.33,87.66,43.0,64.01,61.82,41.25,53.91,76.08,31.89
18.9,52.39,72.72,18.0,78.91,70.17,49.77,98.76,87.21,0.3
2.54,92.36,35.94,33.0,40.1,20.49,29.23,19.64,26.69,89.73
52.63,50.3,93.28,40.0,45.64,12.63,73.68,0.43,44.08,77.19
82.19,26.01,52.84,6.0,73.73,21.92,19.44,57.15,37.25,52.57
49.16,13.22,74.32,23.0,71.81,48.76,49.61,41.23,96.03,62.75
48.22,30.16,61.95,44.0,93.56,76.51,86.06,73.6,22.51,96.76
3.78,18.98,96.66,31.0,66.3,71.7,84.45,20.89,39.93,79.58
71.96,46.88,82.09,19.0,72.1,67.53,33.48,26.41,73.18,84.63
51.97,13.27,50.1,41.0,54.75,63.0,93.28,50.95,71.9,20.16
88.75,60.26,72.85,30.0,4.45,29.37,17.23,57.93,33.31,75.34
87.79,52.45,95.58,45.0,37.74,19.95,91.23,61.65,10.24,30.52
77.29,66.76,97.65,6.0,73.0,86.12,64.15,66.36,82.86,48.46
8.57,96.96,9.25,6.0,17.1,1.36,71.71,15.07,66.02,49.8
70.23,29.79,43.14,44.0,33.6,12.18,32.74,20.62,81.8,10.75
56.21,88.85,52.21,41.0,97.89,34.93,17.53,59.05,62.68,79.48
14.17,90.0,27.85,4.0,85.18,77.22,51.01,58.37,22.27,24.83
99.37,91.77,52.31,13.0,78.17,5.12,30.96,93.5,32.04,60.57
42.72,18.1,25.97,45.0,64.92,46.81,98.75,10.79,8.13,37.15
81.31,78.67,92.46,32.0,7.05,84.16,13.11,81.06,81.47,23.43
68.55,41.93,26.86,17.0,25.31,57.06,39.31,3.73,8.04,14.23
85.99,27.39,0.22,14.0,29.55,98.89,75.7,82.28,24.18,96.71
91.41,37.97,44.58,45.0,93.29,55.13,48.32,82.79,39.08,66.45
99.18,24.6,49.04,38.0,26.53,69.55,7.05,39.24,69.51,6.2
51.83,35.57,33.49,20.0,67.53,94.83,49.96,92.59,27.11,47.94
24.14,28.34,29.55,1.0,5.01,37.85,65.54,92.28,35.76,67.92
43.33,4.09,7.99,25.0,20.97,48.73,87.35,57.31,48.79,97.3
80.11,19.96,62.64,22.0,4.44,77.28,92.23,56.98,78.48,84.95
18.51,66.31,78.18,23.0,62.38,55.63,85.65,2.26,43.04,60.1
83.44,43.3,30.95,36.0,63.74,60.33,27.74,95.47,86.81,42.08
1.27,97.18,6.02,12.0,56.94,17.86,57.7,69.51,67.63,70.99
35.54,99.63,47.05,24.0,91.1,63.76,22.65,90.4,95.75,6.42
73.89,38.06,76.81,23.0,32.33,77.35,45.25,27.12,72.44,43.35
43.53,28.29,52.47,21.0,99.19,8.82,95.01,57.59,47.3,28.56
82.84,88.87,25.96,1.0,6.47,66.16,54.14,15.97,48.06,93.54
7.8,25.87,71.96,42.0,35.84,35.11,22.6,72.08,35.06,21.91
74.74,32.8,59.49,10.0,91.58,19.24,83.62,45.94,40.44,46.0
55.38,60.67,45.46,44.0,31.58,92.45,57.13,18.8,31.8,57.56
12.48,11.08,57.24,38.0,87.24,92.56,42.2,99.54,43.44,73.13
62.32,79.88,51.97,34.0,45.55,85.13,37.86,13.6,13.2,27.44
32.76,31.72,41.66,28.0,38.95,28.69,64.45,31.7,83.07,62.52
43.63,27.91,90.01,3.0,22.6,70.89,43.11,58.44,24.8,86.99
64.05,71.24,11.5,9.0,94.89,57.39,53.74,22.35,62.03,56.27
32.32,10.33,65.74,33.0,73.5,77.2,27.02,25.67,30.49,0.04
69.38,59.65,99.41,10.0,98.57,75.31,33.4,82.95,57.49,48.11
37.69,82.32,41.65,33.0,47.74,65.16,34.01,1.73,4.52,43.59
88.67,44.64,8.92,2.0,1.98,38.56,26.98,84.21,3.39,48.4
23.14,99.06,56.25,18.0,53.06,66.85,72.06,42.8,29.57,80.02
65.49,78.71,42.83,21.0,24.09,27.67,61.27,18.13,67.24,85.22
36.17,64.02,66.41,4.0,96.08,87.74,27.34,32.16,54.77,20.57
82.79,8.55,88.3,28.0,91.16,45.29,90.02,92.75,71.02,74.07
68.09,97.37,10.06,44.0,6.97,51.95,84.64,25.04,81.05,21.04
40.61,65.68,80.3,1.0,41.44,46.46,38.43,67.75,36.69,6.5
76.36,74.98,47.17,48.0,48.3,35.31,40.18,11.71,12.74,77.4
67.68,20.75,86.66,6.0,71.68,41.68,61.67,34.05,52.14,23.14
47.1,9.1,81.74,4.0,28.14,30.68,90.47,99.99,36.74,7.71
16.06,49.97,6.71,43.0,81.44,36.68,58.31,57.65,53.79,51.21
44.25,31.91,13.88,19.0,22.17,3.46,70.72,87.12,64.11,73.15
66.05,19.42,53.62,36.0,62.53,11.08,83.64,3.32,24.54,78.42
84.89,58.13,17.35,48.0,25.07,73.14,4.28,26.36,9.8,92.73
9.45,95.22,42.57,18.0,1.01,97.88,66.72,15.49,6.65,95.42
96.77,76.57,78.89,11.0,27.33,30.67,33.6,89.72,40.91,16.12
86.0,17.18,99.99,10.0,44.97,55.12,46.67,60.79,37.31,43.79
80.23,99.1,24.29,30.0,37.02,25.84,30.37,47.79,50.3,93.54
40.16,27.18,15.32,15.0,28.34,36.2,70.17,32.4,69.19,20.35
4.02,6.16,68.54,37.0,18.33,28.79,96.03,29.87,20.72,20.77
90.78,89.37,96.09,13.0,57.12,87.17,92.79,46.18,17.21,36.46
84.25,18.89,16.1,41.0,77.6,8.17,49.75,23.14,69.78,11.79
75.93,48.46,43.71,15.0,23.95,99.05,25.12,85.52,31.72,88.14
11.6,42.56,91.88,20.0,70.56,42.57,27.69,95.42,5.27,27.3
41.88,59.95,84.57,23.0,34.46,65.05,7.35,75.62,94.53,64.66
1.34,79.95,0.67,21.0,32.98,89.77,68.39,82.06,60.34,37.62
19.49,62.99,26.87,42.0,4.95,75.95,30.71,38.28,69.13,93.16
68.7,80.94,40.44,26.0,59.74,82.91,33.57,62.51,78.31,1.07
69.46,65.2,69.35,46.0,93.95,45.89,9.02,70.5,47.58,46.41
29.43,4.85,95.97,4.0,14.34,97.67,51.71,70.41,49.52,25.92
96.85,94.41,75.3,7.0,77.62,92.69,49.59,58.54,27.33,57.06
98.44,23.54,15.61,1.0,39.48,89.65,95.77,50.32,51.5,76.53
2.5,15.92,12.3,14.0,17.25,99.9,84.48,69.08,41.17,34.69
28.94,26.78,42.46,37.0,91.6,12.25,4.78,7.68,12.36,50.21
68.78,48.99,7.15,16.0,81.18,55.47,92.92,85.77,6.97,82.14
50.24,37.75,90.99,26.0,57.62,1.46,46.18,78.64,86.96,8.39
44.67,16.24,27.95,42.0,74.18,0.25,59.36,38.65,89.21,68.53
9.82,51.56,79.64,47.0,24.83,93.39,51.79,33.11,99.88,26.49
71.84,79.23,35.9,45.0,43.57,48.21,16.53,26.45,93.49,80.88
34.18,29.87,35.84,20.0,71.57,75.59,5.17,98.09,72.66,45.0
14.9,58.91,14.66,21.0,15.32,98.8,68.97,34.8,54.21,69.2
32.61,82.1,35.47,10.0,65.26,53.32,16.7,5.86,60.89,68.08
82.49,27.09,57.41,35.0,56.14,66.61,78.8,39.21,53.68,39.82
8.97,60.0,10.94,3.0,2.02,55.69,98.63,98.41,47.13,72.65
93.72,15.77,58.24,25.0,63.21,3.06,10.63,88.65,5.69,97.1
10.01,50.9,47.75,45.0,35.85,82.92,33.15,1.31,29.47,68.96
99.84,9.47,66.56,44.0,96.96,25.14,25.34,59.38,5.33,78.56
31.65,46.7,11.44,1.0,38.73,84.18,78.21,59.22,54.62,0.62
55.62,86.86,31.92,42.0,96.04,57.98,28.82,88.73,20.7,84.46
61.73,40.21,87.03,47.0,3.47,49.91,64.82,18.24,67.81,81.06
27.02,82.03,39.04,44.0,53.68,68.59,6.09,51.89,13.02,26.96
65.84,48.04,94.25,10.0,7.46,95.57,48.54,71.82,84.66,69.18
44.68,22.85,8.44,6.0,59.66,71.43,28.52,98.43,58.89,38.27
63.14,75.19,97.39,37.0,73.54,20.26,0.23,83.93,92.96,14.54
45.72,44.57,56.65,11.0,74.47,13.18,4.95,63.16,62.61,80.13
73.14,62.26,38.95,21.0,24.81,45.43,24.68,7.75,93.77,7.17
41.93,61.25,1.75,39.0,29.86,76.24,69.3,68.9,48.48,98.77
55.69,46.77,43.4,37.0,83.2,15.56,93.09,55.92,67.05,39.56
58.95,73.84,90.59,9.0,43.89,40.9,52.63,39.6,98.66,33.22
79.01,9.11,6.49,28.0,40.49,82.18,13.3,8.76,93.3,21.83
81.96,13.38,5.88,5.0,1.44,68.97,55.86,33.02,0.79,58.32
77.97,34.94,22.26,10.0,34.95,3.8,31.06,51.56,6.55,78.9
46.18,10.89,17.12,11.0,25.83,56.1,92.77,33.53,15.95,34.08
5.08,91.56,79.02,16.0,63.7,5.81,19.88,78.47,40.89,49.47
8.25,59.94,16.49,34.0,86.62,89.34,90.59,89.64,81.79,42.9
98.28,19.37,88.38,16.0,91.87,78.52,71.37,19.18,23.41,52.64
77.29,97.6,91.24,30.0,57.47,27.88,24.03,76.07,13.14,63.84
7.89,70.46,88.49,18.0,2.1,66.07,2.93,70.13,77.12,82.14
61.44,79.86,10.77,31.0,0.75,90.24,74.89,29.26,11.7,92.19
23.92,27.69,75.79,43.0,64.83,39.86,86.67,33.76,44.99,83.06
66.69,19.05,96.9,29.0,0.76,89.1,42.5,33.57,39.27,28.48
92.69,38.05,39.37,4.0,61.67,33.43,9.6,36.64,58.71,7.39
46.93,81.49,80.92,45.0,71.49,90.1,13.34,96.14,24.6,37.67
17.43,80.83,77.62,11.0,65.85,76.9,31.63,46.22,59.9,80.55
49.18,98.46,69.46,43.0,92.96,85.66,1.59,1.54,19.14,25.45
85.16,72.6,33.51,35.0,39.53,57.09,79.69,85.57,10.54,96.6
23.34,92.93,52.25,38.0,33.29,5.16,80.61,26.02,34.2,42.26
12.38,6.28,68.27,28.0,59.24,43.72,10.23,56.39,68.25,40.03
9.29,29.71,26.13,22.0,8.7,2.86,17.58,16.24,93.87,92.29
48.79,97.64,49.35,19.0,81.22,37.24,54.01,71.3,7.54,42.01
37.14,35.89,52.85,22.0,92.13,19.65,65.25,24.78,81.46,9.75
71.91,23.16,33.14,40.0,38.52,69.94,13.67,61.21,85.26,51.17
1.83,1.31,8.0,46.0,27.93,71.12,56.2,74.06,87.2,2.59
98.41,64.18,21.25,35.0,56.18,14.68,65.17,53.23,4.18,86.54
66.18,58.09,66.46,43.0,23.66,44.05,19.2,15.18,84.45,89.81
27.43,39.78,11.29,30.0,80.06,61.32,61.0,24.96,31.83,21.17
13.55,18.64,14.3,36.0,1.51,44.61,54.92,95.96,84.14,51.01
63.8,3.01,55.25,42.0,74.09,77.65,85.22,89.81,82.66,86.57
47.57,47.87,28.44,24.0,41.32,33.55,32.64,65.66,56.74,16.85
47.26,78.82,70.18,12.0,56.44,69.27,40.6,21.02,69.75,99.34
99.47,61.46,66.89,49.0,21.42,44.73,25.81,85.06,45.15,1.62
89.65,65.14,14.02,12.0,62.86,20.84,67.57,30.01,51.84,37.71
80.12,29.97,5.5,7.0,78.1,13.31,99.64,7.67,2.68,44.82
1.12,4.59,62.1,13.0,13.16,99.17,65.96,61.79,34.53,18.42
92.94,25.63,15.4,21.0,56.42,27.27,56.79,23.13,86.38,56.77
32.37,24.62,53.04,49.0,37.62,35.74,20.91,63.73,59.21,23.82
48.6,91.13,38.99,11.0,93.78,52.21,38.64,53.23,86.6,25.01
42.43,14.68,19.86,23.0,78.31,41.28,86.31,60.3,87.57,67.37
54.75,34.37,31.99,11.0,34.89,58.04,27.19,58.09,11.83,1.75
69.75,64.84,13.7,28.0,52.74,34.16,25.03,40.2,7.04,66.41
73.9,67.23,75.04,33.0,54.84,94.15,4.31,46.83,11.9,97.7
37.22,41.28,48.19,49.0,32.62,24.83,14.76,19.75,35.14,64.03
24.17,30.57,6.53,21.0,50.97,67.89,57.97,42.33,92.81,33.47
21.66,62.44,98.02,1.0,30.19,47.5,38.2,90.43,83.61,24.78
26.44,98.62,82.5,41.0,71.98,96.38,1.33,2.25,1.47,17.2
67.29,38.43,24.53,13.0,54.85,95.07,68.42,58.83,81.25,59.75
1.04,82.8,55.71,22.0,48.21,72.4,80.8,60.61,46.19,84.66
60.79,42.84,74.92,15.0,97.94,85.19,27.02,50.28,43.31,0.95
38.46,55.94,55.26,14.0,16.59,96.86,32.94,54.09,3.48,89.64
98.16,29.82,58.25,4.0,44.63,72.14,47.39,67.83,93.13,97.16
29.43,0.97,38.48,37.0,21.94,5.26,39.0,37.32,49.62,58.95
54.41,73.9,55.82,12.0,52.42,38.44,13.98,29.32,47.52,84.47
34.8,33.22,88.3,45.0,53.41,84.38,10.61,54.24,10.18,19.61
70.81,75.69,47.49,29.0,16.4,58.17,16.07,46.88,24.12,21.86
19.38,70.54,16.85,30.0,5.56,65.61,56.67,22.39,23.06,52.54
4.23,30.21,64.11,46.0,40.38,93.02,58.33,90.17,49.31,40.27
14.92,29.55,74.16,40.0,78.32,85.41,65.94,18.3,99.35,42.89
86.49,85.02,34.19,11.0,32.91,15.43,6.72,84.14,66.43,37.07
97.61,28.69,51.0,20.0,68.34,21.59,10.24,88.24,95.74,21.47
98.2,71.28,13.93,25.0,86.96,53.75,3.06,73.89,77.07,34.37
18.72,82.86,96.2,26.0,69.82,65.26,44.82,60.06,58.37,32.13
33.54,60.03,18.63,8.0,87.4,50.39,31.86,81.39,15.14,80.97
22.09,41.45,34.43,6.0,58.97,71.82,55.78,73.61,65.72,93.16
66.87,14.94,73.2,25.0,93.63,24.37,79.81,65.55,36.37,16.01
70.79,92.77,54.63,30.0,39.2,34.38,93.44,50.5,75.05,85.83
22.07,37.86,78.44,17.0,21.24,75.76,65.24,70.11,9.19,27.43
0.82,58.5,20.77,24.0,95.58,14.94,48.0,21.39,82.01,48.74
78.75,61.46,85.96,5.0,79.91,65.62,41.46,85.54,71.71,1.74
66.98,21.14,61.99,33.0,58.24,72.91,20.16,99.99,84.11,15.05
88.86,85.19,95.75,27.0,86.32,75.0,78.25,84.05,41.9,55.51
97.25,46.53,65.0,37.0,31.8,77.61,67.92,60.73,44.97,68.28
60.99,55.1,46.59,27.0,50.06,42.96,56.15,57.33,33.99,77.75
94.84,30.9,27.86,43.0,37.6,51.55,40.08,25.59,66.5,52.84
33.62,13.57,48.61,4.0,71.45,3.6,66.43,84.86,80.96,14.99
75.99,95.98,30.65,35.0,64.5,0.14,66.32,29.62,84.67,59.74
1.63,23.24,56.15,17.0,45.14,26.43,36.16,3.4,95.66,59.45
30.53,47.88,13.23,28.0,68.31,65.54,79.32,26.75,94.89,54.29
39.5,32.55,81.52,12.0,75.64,44.5,35.03,54.2,49.38,47.16
16.19,45.11,11.97,35.0,37.78,12.44,69.66,97.19,49.79,75.91
89.06,60.39,4.46,48.0,54.45,18.24,11.42,96.13,1.23,46.25
69.1,89.68,24.26,22.0,20.09,51.05,78.24,67.16,38.91,45.88
43.11,9.69,82.55,42.0,12.89,21.17,26.86,76.93,72.09,4.35
72.83,72.13,76.1,43.0,38.37,73.45,37.17,71.31,95.83,21.21
29.04,10.79,0.39,12.0,89.72,96.95,71.6,30.41,42.34,22.74
77.77,86.71,13.0,5.0,56.28,98.43,41.41,26.85,63.03,59.65
93.76,72.69,27.07,38.0,85.04,30.01,17.5,22.08,23.91,52.97
88.86,30.49,13.56,5.0,92.81,89.13,78.58,21.53,43.8,74.32
83.44,76.92,61.04,31.0,80.17,9.27,83.64,44.85,86.11,35.54
82.94,2.4,55.25,40.0,27.59,73.41,76.5,35.31,82.1,50.32
67.5,90.02,55.26,5.0,86.67,51.4,99.32,86.37,92.35,61.8
51.17,91.49,56.62,22.0,3.0,14.26,94.7,84.33,38.85,0.02
87.06,8.71,72.54,20.0,76.74,48.67,46.83,57.71,56.01,53.59
17.78,76.63,95.18,8.0,28.29,90.7,27.19,35.63,68.51,63.77
7.66,77.61,97.89,33.0,54.57,23.48,72.99,72.35,14.84,57.88
40.97,80.21,50.9,38.0,46.68,52.0,62.9,24.39,33.44,81.88
8.07,57.23,66.95,4.0,42.0,68.4,77.72,2.78,85.82,72.42
52.83,41.65,33.46,18.0,62.94,24.01,95.99,10.96,5.79,58.84
61.8,16.99,20.28,24.0,61.39,19.17,12.65,96.6,69.03,77.44
33.7,44.41,30.69,35.0,82.59,11.53,43.9,56.52,16.52,3.1
74.79,14.66,3.96,1.0,15.01,75.29,86.51,87.51,62.87,45.61
77.95,36.93,49.65,10.0,61.32,98.99,95.39,87.43,29.11,41.3
27.14,17.15,68.21,37.0,48.68,62.88,14.92,50.3,64.67,26.03
9.41,66.04,87.25,36.0,56.86,19.4,45.81,91.69,57.1,83.0
1.42,76.23,46.17,9.0,24.59,64.12,97.9,17.63,74.68,78.33
87.26,41.62,74.5,26.0,21.6,4.53,66.0,94.23,98.21,71.66
65.72,51.6,27.32,36.0,79.5,81.82,81.47,6.16,18.37,11.64
95.7,88.8,80.47,5.0,60.47,7.12,17.49,70.51,36.35,6.33
18.82,14.82,34.79,40.0,66.5,69.96,26.35,65.92,50.27,55.02
95.99,4.72,38.29,12.0,10.28,13.55,61.64,50.73,84.77,47.45
58.34,50.48,96.72,25.0,14.87,72.37,78.88,33.06,2.73,53.82
44.59,43.01,85.17,46.0,67.04,5.49,15.63,11.12,24.6,40.36
82.02,66.02,74.21,35.0,81.95,69.6,91.67,11.19,18.68,75.97
36.6,58.56,97.86,8.0,49.52,48.71,33.69,3.44,80.82,99.03
84.53,46.39,97.69,4.0,48.81,51.89,65.88,15.38,15.16,93.53
60.44,92.55,87.55,28.0,78.67,97.64,55.31,17.32,4.0,62.23
81.4,12.01,34.89,4.0,45.91,12.0,8.82,13.42,57.88,9.94
14.42,19.08,39.08,28.0,38.88,71.0,57.59,10.29,6.66,59.71
50.46,23.29,38.15,35.0,69.19,89.58,60.12,95.66,92.28,0.74
78.19,55.45,26.0,33.0,76.28,68.51,51.49,73.23,40.95,44.98
91.29,0.71,53.51,7.0,83.29,91.34,36.51,42.45,85.92,70.05
72.71,98.6,28.11,35.0,70.58,22.88,65.23,97.36,85.21,48.63
26.9,88.26,46.57,37.0,44.29,38.23,40.66,4.73,4.44,23.86
73.77,91.33,77.48,35.0,0.46,88.12,24.39,34.57,45.91,52.32
8.84,80.97,21.36,10.0,12.37,14.01,36.49,41.1,4.58,52.08
37.53,29.11,63.1,4.0,73.03,24.76,51.76,99.82,56.2,5.39
60.12,76.49,65.17,46.0,87.25,38.61,95.28,42.25,85.75,63.86
64.03,57.45,69.97,40.0,85.3,66.62,83.23,50.05,32.67,79.27
56.17,33.6,83.6,37.0,93.57,2.17,9.78,90.16,10.97,6.73
35.0,39.44,71.86,5.0,95.51,8.62,42.82,20.17,94.5,35.14
21.72,83.76,98.24,16.0,28.47,44.18,5.44,45.17,38.97,48.22
90.62,40.46,4.26,36.0,76.45,35.18,87.19,83.27,56.89,80.09
48.09,8.46,76.18,32.0,91.94,37.63,1.27,67.08,62.43,2.03
